AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),795397905037,,CA5KR2367043,On The Way Records,,Big Daddy,,Loadjaxx,Track,Stream,CH,No,1,0.006046
2024-09-01,2024-09-30,,YouTube (Subscription),795397587189,,CA5KR2321534,On The Way Records,,Fantasy (Original Mix),,Volyri,Track,Stream,CL,No,1,0.001985
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CL,No,18,0.035728
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CL,No,1,0.0001
2024-09-01,2024-09-30,,YouTube (Subscription),795397905037,,CA5KR2367043,On The Way Records,,Big Daddy,,Loadjaxx,Track,Stream,CL,No,1,0.000874
2024-09-01,2024-09-30,,YouTube (Subscription),723277083360,,CA5KR2385585,On The Way Records,,Start the Bass,,Mat Eclair,Track,Stream,CL,No,1,0.000874
2024-09-01,2024-09-30,,YouTube (Subscription),723277185903,,CA5KR2398138,On The Way Records,,Boss,,KuKs,Track,Stream,CL,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),795397587189,,CA5KR2321534,On The Way Records,,Fantasy (Original Mix),,Volyri,Track,Stream,CO,No,1,0.001285
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CO,No,2,0.001453
2024-09-01,2024-09-30,,YouTube (Subscription),723277657356,,CA5KR2478348,On The Way Records,,Alive,,Blue Man,Track,Stream,CO,No,1,0.001809
2024-09-01,2024-09-30,,YouTube (Subscription),723277606804,,CA5KR2471184,On The Way Records,,Better Now,,"Volyri, RESZ",Track,Stream,CO,No,1,0.001809
2024-09-01,2024-09-30,,YouTube (Subscription),723277549422,,CA5KR2460825,On The Way Records,,The DJ,,"Wrex, Azooland",Track,Stream,CO,No,1,0.001809
